kakao_id,name,address,road_address,latitude,longitude,phone,category,place_url,district
84268936,가배도 신논현점,서울 강남구 역삼동 601-12,서울 강남구 강남대로110길 13,37.504014524333215,127.02594414795091,02-554-4542,음식점 > 카페 > 다방,http://place.map.kakao.com/84268936,강남구
10159026,고센인코퍼레이티드,서울 강남구 청담동 88-23,서울 강남구 선릉로158길 18,37.5251945000821,127.041459017307,,음식점 > 카페,http://place.map.kakao.com/10159026,강남구
7948829,세시셀라 도산공원점,서울 강남구 신사동 651-4,서울 강남구 도산대로45길 10-4,37.52314916281088,127.03616365669063,02-3448-7100,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/7948829,강남구
35026031,스타벅스 강남R점,서울 강남구 역삼동 825,서울 강남구 강남대로 390,37.4976744709989,127.028443419181,1522-3232,음식점 > 카페 > 커피전문점 > 스타벅스,http://place.map.kakao.com/35026031,강남구
27196653,파시0914,서울 강남구 신사동 631-35,서울 강남구 도산대로45길 15,37.5232359838849,127.035086751653,02-2056-0917,음식점 > 카페,http://place.map.kakao.com/27196653,강남구
26852745,네버랜드,서울 강남구 논현동 180-2,서울 강남구 봉은사로7길 32,37.5076326644887,127.027261897244,02-547-7731,음식점 > 카페,http://place.map.kakao.com/26852745,강남구
22549791,마일스톤커피,서울 강남구 신사동 554-4,서울 강남구 논현로159길 49,37.5218511454281,127.024330407303,070-4219-1195,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/22549791,강남구
1466542951,셀렉티드닉스,서울 강남구 역삼동 827-13,서울 강남구 테헤란로4길 37,37.4962223486255,127.030837985875,070-5176-7947,음식점 > 카페,http://place.map.kakao.com/1466542951,강남구
22400767,10꼬르소꼬모서울카페,서울 강남구 청담동 79,서울 강남구 압구정로 416,37.5267655229983,127.04237397719,,음식점 > 카페,http://place.map.kakao.com/22400767,강남구
522639283,코드이스케이프 가로수길점,서울 강남구 신사동 541-15,서울 강남구 가로수길 14,37.518822164570295,127.02338375716188,02-541-7544,음식점 > 카페 > 테마카페,http://place.map.kakao.com/522639283,강남구
1455370465,북카페레벤,서울 강남구 논현동 123,서울 강남구 학동로 116,37.5115834447788,127.023662004286,02-2278-6607,음식점 > 카페 > 테마카페 > 북카페,http://place.map.kakao.com/1455370465,강남구
19834035,소나,서울 강남구 신사동 520-1,서울 강남구 강남대로162길 40,37.52076776256566,127.02164003918188,02-515-3246,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/19834035,강남구
27579564,이디야커피랩,서울 강남구 논현동 221-17,서울 강남구 논현로 636,37.51047297481296,127.032981540064,02-545-6467,음식점 > 카페 > 커피전문점 > 이디야커피,http://place.map.kakao.com/27579564,강남구
27413263,비트포비아 강남던전점,서울 강남구 역삼동 824-25,서울 강남구 강남대로84길 33,37.497583697643,127.031112213726,02-555-4360,음식점 > 카페 > 테마카페,http://place.map.kakao.com/27413263,강남구
