kakao_id,name,address,road_address,latitude,longitude,phone,category,place_url,district,region
84268936,가배도 신논현점,서울 강남구 역삼동 601-12,서울 강남구 강남대로110길 13,37.504014524333215,127.02594414795091,02-554-4542,음식점 > 카페 > 다방,http://place.map.kakao.com/84268936,강남구,Seoul
10159026,고센인코퍼레이티드,서울 강남구 청담동 88-23,서울 강남구 선릉로158길 18,37.5251945000821,127.041459017307,,음식점 > 카페,http://place.map.kakao.com/10159026,강남구,Seoul
7948829,세시셀라 도산공원점,서울 강남구 신사동 651-4,서울 강남구 도산대로45길 10-4,37.52314916281088,127.03616365669063,02-3448-7100,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/7948829,강남구,Seoul
35026031,스타벅스 강남R점,서울 강남구 역삼동 825,서울 강남구 강남대로 390,37.4976744709989,127.028443419181,1522-3232,음식점 > 카페 > 커피전문점 > 스타벅스,http://place.map.kakao.com/35026031,강남구,Seoul
27196653,파시0914,서울 강남구 신사동 631-35,서울 강남구 도산대로45길 15,37.5232359838849,127.035086751653,02-2056-0917,음식점 > 카페,http://place.map.kakao.com/27196653,강남구,Seoul
26852745,네버랜드,서울 강남구 논현동 180-2,서울 강남구 봉은사로7길 32,37.5076326644887,127.027261897244,02-547-7731,음식점 > 카페,http://place.map.kakao.com/26852745,강남구,Seoul
22549791,마일스톤커피,서울 강남구 신사동 554-4,서울 강남구 논현로159길 49,37.5218511454281,127.024330407303,070-4219-1195,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/22549791,강남구,Seoul
22400767,10꼬르소꼬모서울카페,서울 강남구 청담동 79,서울 강남구 압구정로 416,37.5267655229983,127.04237397719,,음식점 > 카페,http://place.map.kakao.com/22400767,강남구,Seoul
522639283,코드이스케이프 가로수길점,서울 강남구 신사동 541-15,서울 강남구 가로수길 14,37.518822164570295,127.02338375716188,02-541-7544,음식점 > 카페 > 테마카페,http://place.map.kakao.com/522639283,강남구,Seoul
1455370465,북카페레벤,서울 강남구 논현동 123,서울 강남구 학동로 116,37.5115834447788,127.023662004286,02-2278-6607,음식점 > 카페 > 테마카페 > 북카페,http://place.map.kakao.com/1455370465,강남구,Seoul
19834035,소나,서울 강남구 신사동 520-1,서울 강남구 강남대로162길 40,37.52076776256566,127.02164003918188,02-515-3246,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/19834035,강남구,Seoul
27579564,이디야커피랩,서울 강남구 논현동 221-17,서울 강남구 논현로 636,37.51047297481296,127.032981540064,02-545-6467,음식점 > 카페 > 커피전문점 > 이디야커피,http://place.map.kakao.com/27579564,강남구,Seoul
27413263,비트포비아 강남던전점,서울 강남구 역삼동 824-25,서울 강남구 강남대로84길 33,37.497583697643,127.031112213726,02-555-4360,음식점 > 카페 > 테마카페,http://place.map.kakao.com/27413263,강남구,Seoul
1016477143,기욤 청담점,서울 강남구 청담동 88-37,서울 강남구 선릉로152길 17,37.524317115354286,127.04090986917596,02-512-6701,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/1016477143,강남구,Seoul
25736467,할리스 강남역점,서울 강남구 역삼동 820-11,서울 강남구 강남대로 402,37.49871619356776,127.02777433522404,02-555-0890,음식점 > 카페 > 커피전문점 > 할리스,http://place.map.kakao.com/25736467,강남구,Seoul
18558469,커피휘엘,서울 강남구 논현동 4-21,서울 강남구 논현로149길 62,37.5169750672937,127.023586788209,02-6215-8138,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/18558469,강남구,Seoul
27347412,크라프트카페,서울 강남구 역삼동 618-4,서울 강남구 강남대로102길 38-5,37.5033363584559,127.028585804312,070-4667-2436,음식점 > 카페,http://place.map.kakao.com/27347412,강남구,Seoul
179244712,꽁티드툴레아 도산점,서울 강남구 신사동 646-21,서울 강남구 도산대로49길 39,37.5255636248427,127.036888842603,070-8846-8490,음식점 > 카페,http://place.map.kakao.com/179244712,강남구,Seoul
1165137776,투썸플레이스 강남구청역점,서울 강남구 논현동 118-15,서울 강남구 학동로 335,37.51697437233935,127.03964688796871,02-511-0456,음식점 > 카페 > 커피전문점 > 투썸플레이스,http://place.map.kakao.com/1165137776,강남구,Seoul
1850394240,크리에잇쿠키 역삼점,서울 강남구 역삼동 641-1,서울 강남구 테헤란로25길 36,37.50292193725799,127.03511569524726,02-558-8890,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/1850394240,강남구,Seoul
815154481,플라워베이커리 신사점,서울 강남구 신사동 517-5,서울 강남구 압구정로2길 45,37.518921704388,127.021103325933,02-515-1345,음식점 > 카페 > 테마카페 > 디저트카페,http://place.map.kakao.com/815154481,강남구,Seoul
277520995,데바스테이트 청담,서울 강남구 청담동 80-17,서울 강남구 선릉로162길 51,37.52613753145513,127.04479684639043,070-7717-6100,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/277520995,강남구,Seoul
1992321980,카페봄,서울 강남구 역삼동 700-31,서울 강남구 테헤란로43길 19,37.50460394942532,127.04371182149568,02-554-0613,음식점 > 카페,http://place.map.kakao.com/1992321980,강남구,Seoul
